"exercicio","Esfera_cod","Esfera_desc","Orgao_cod","Orgao_desc","UO_cod","UO_desc","Funcao_cod","Funcao_desc","Subfuncao_cod","Subfuncao_desc","Programa_cod","Programa_desc","Acao_cod","Acao_desc","Subtitulo_cod","Subtitulo_desc","PlanoOrcamentario_cod","PlanoOrcamentario_desc","Fonte_cod","Fonte_desc","GND_cod","GND_desc","ModalidadeAplicacao_cod","ModalidadeAplicacao_desc","IdUso_cod","IdUso_desc","ResultadoPrimario_cod","ResultadoPrimario_desc","ploa","loa"
"2026","10","Orçamento Fiscal","32000","Ministério de Minas e Energia","32101","Ministério de Minas e Energia - Administração Direta","25","Energia","122","Administração Geral","0032","Programa de Gestão e Manutenção do Poder Executivo","216H","Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos","0001","Nacional","0000","Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos","3050","Recursos Próprios Livres da UO","3","Outras Despesas Correntes","90","Aplicações Diretas","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","2","Primária discricionária, considerada no cálculo do RP",0,0
"2026","20","Orçamento da Seguridade Social","26000","Ministério da Educação","26294","Hospital de Clínicas de Porto Alegre","28","Encargos Especiais","846","Outros Encargos Especiais","0901","Operações Especiais: Cumprimento de Sentenças Judiciais","0625","Sentenças Judiciais Transitadas em Julgado de Pequeno Valor","0043","No Estado do Rio Grande do Sul","0000","Sentenças Judiciais Transitadas em Julgado de Pequeno Valor - Despesas Diversas","1000","Recursos Livres da União","1","Pessoal e Encargos Sociais","90","Aplicações Diretas","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","1","Primária obrigatória, considerada no cálculo do RP",5089332,5089332
"2026","10","Orçamento Fiscal","26000","Ministério da Educação","26235","Universidade Federal de Goiás","12","Educação","846","Outros Encargos Especiais","0032","Programa de Gestão e Manutenção do Poder Executivo","09HB","Contribuição da União, de suas Autarquias e Fundações para o Custeio do Regime de Previdência dos Servidores Públicos Federais","0052","No Estado de Goiás","0000","Contribuição da União, de suas Autarquias e Fundações para o Custeio do Regime de Previdência dos Servidores Públicos Federais","1000","Recursos Livres da União","1","Pessoal e Encargos Sociais","91","Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos F/S","8","Recursos para identificação das despesas com manutenção e desenvolvimento do ensino, conforme arts. 70 e 71 da Lei nº 9.394, de 20 de dezembro de 1996, no âmbito do Ministério da Educação","0","Financeira",153105949,153105949
"2026","10","Orçamento Fiscal","26000","Ministério da Educação","26254","Universidade Federal do Triângulo Mineiro","28","Encargos Especiais","846","Outros Encargos Especiais","0910","Operações Especiais: Gestão da Participação em Organismos e Entidades Nacionais e Internacionais","00PW","Contribuições Regulares a Entidades ou Organismos Nacionais sem Exigência de Programação Específica","0001","Nacional","0003","Contribuição à Associação Grupo Coimbra de Universidades Brasileiras (GCUB)","1000","Recursos Livres da União","3","Outras Despesas Correntes","50","Transferências a Instituições Privadas sem Fins Lucrativos","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","2","Primária discricionária, considerada no cálculo do RP",0,0
"2026","20","Orçamento da Seguridade Social","30000","Ministério da Justiça e Segurança Pública","30912","Fundo Nacional Antidrogas","14","Direitos da Cidadania","422","Direitos Individuais, Coletivos e Difusos","5115","Promoção do Acesso à Justiça e da Defesa dos Direitos","21IN","Articulação de Política Pública sobre Drogas, no âmbito da Seguridade Social","0001","Nacional","0002","Programa CAIS - Rede Nacional de Centros de Acesso a Direito e Inclusão Social - Recurso Extraordinário nº 635.659","1003","Recursos da UO para Aplicação na Seguridade Social","3","Outras Despesas Correntes","42","Execução Orçamentária Delegada a Municípios","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","2","Primária discricionária, considerada no cálculo do RP",0,0
"2026","10","Orçamento Fiscal","53000","Ministério da Integração e do Desenvolvimento Regional","53207","Superintendência do Desenvolvimento do Centro-Oeste - SUDECO","15","Urbanismo","244","Assistência Comunitária","2317","Desenvolvimento Regional e Ordenamento Territorial","00SX","Apoio a Projetos de Desenvolvimento Sustentável Local Integrado","0001","Nacional","0000","Apoio a Projetos de Desenvolvimento Sustentável Local Integrado","1000","Recursos Livres da União","3","Outras Despesas Correntes","40","Transferências a Municípios","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","2","Primária discricionária, considerada no cálculo do RP",7e+05,7e+05
"2026","10","Orçamento Fiscal","35000","Ministério das Relações Exteriores","35101","Ministério das Relações Exteriores - Administração Direta","07","Relações Exteriores","128","Formação de Recursos Humanos","2316","Relações Internacionais e Assistência a Brasileiras e Brasileiros no Exterior","00WK","Concessão de Bolsas de Estudo a Mulheres de Baixa Renda Candidatas à Carreira Diplomática","0001","Nacional","0000","Concessão de Bolsas de Estudo a Mulheres de Baixa Renda Candidatas à Carreira Diplomática","1000","Recursos Livres da União","3","Outras Despesas Correntes","90","Aplicações Diretas","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","2","Primária discricionária, considerada no cálculo do RP",60000,60000
"2026","10","Orçamento Fiscal","12000","Justiça Federal","12104","Tribunal Regional Federal da 3a. Região","02","Judiciária","061","Ação Judiciária","0033","Programa de Gestão e Manutenção do Poder Judiciário","4257","Julgamento de Causas na Justiça Federal","6014","Na 3ª Região da Justiça Federal - MS, SP","0016","Segurança Institucional na Justiça Federal","1000","Recursos Livres da União","3","Outras Despesas Correntes","90","Aplicações Diretas","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","2","Primária discricionária, considerada no cálculo do RP",8696105,8696105
"2026","10","Orçamento Fiscal","26000","Ministério da Educação","26435","Instituto Federal do Rio Grande do Norte","12","Educação","363","Ensino Profissional","0032","Programa de Gestão e Manutenção do Poder Executivo","20TP","Ativos Civis da União","0024","No Estado do Rio Grande do Norte","0000","Ativos Civis da União","1000","Recursos Livres da União","1","Pessoal e Encargos Sociais","91","Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos F/S","8","Recursos para identificação das despesas com manutenção e desenvolvimento do ensino, conforme arts. 70 e 71 da Lei nº 9.394, de 20 de dezembro de 1996, no âmbito do Ministério da Educação","1","Primária obrigatória, considerada no cálculo do RP",0,0
"2026","10","Orçamento Fiscal","26000","Ministério da Educação","26412","Instituto Federal do Sul de Minas Gerais","12","Educação","122","Administração Geral","0032","Programa de Gestão e Manutenção do Poder Executivo","216H","Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos","0031","No Estado de Minas Gerais","0000","Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos","1000","Recursos Livres da União","3","Outras Despesas Correntes","90","Aplicações Diretas","8","Recursos para identificação das despesas com manutenção e desenvolvimento do ensino, conforme arts. 70 e 71 da Lei nº 9.394, de 20 de dezembro de 1996, no âmbito do Ministério da Educação","2","Primária discricionária, considerada no cálculo do RP",435000,435000
